IP,User,Time,Method,URL,Status,Bytes,Referrer,UserAgent
198.51.100.23,-,2025-10-07 21:39:21,GET,/download.php?file=../../../../etc/passwd,200,15695,https://www.google.com/search?q=site,curl/7.68.0
203.0.113.5,alice,2025-10-07 08:13:15,GET,/wp-login.php,200,30048,-,Wget/1.20.3 (linux-gnu)
203.0.113.5,-,2025-10-05 15:42:45,GET,/search.php?q=phone,200,15483,-,python-requests/2.28.1
198.51.100.207,bob,2025-10-05 10:13:07,GET,/about,200,47513,https://facebook.com/,curl/7.68.0
198.51.100.233,-,2025-10-07 08:21:21,GET,/etc/passwd,200,13602,https://www.example.com/start.html,sqlmap/1.5.5#stable
198.51.100.214,alice,2025-10-05 11:15:51,GET,/products/item1,301,17794,https://facebook.com/,python-requests/2.28.1
203.0.113.5,bob,2025-10-05 15:02:55,POST,/search.php?q=phone,404,11958,-,Nikto/2.1.6
198.51.100.224,-,2025-10-05 17:42:54,GET,/index.html,200,4144,https://www.google.com/search?q=site,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.207,-,2025-10-05 03:11:00,GET,/products,200,15098,https://www.google.com/search?q=site,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
198.51.100.246,alice,2025-10-05 04:14:55,GET,/search.php?q=phone,200,2497,-,Nikto/2.1.6
203.0.113.5,-,2025-10-05 14:11:34,GET,/index.html,200,20597,https://www.example.com/start.html,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
198.51.100.213,-,2025-10-05 11:29:58,GET,/products/item1,403,43725,https://www.example.com/start.html,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
198.51.100.244,bob,2025-10-05 14:46:43,GET,/api/v1/users,200,23631,-,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
198.51.100.233,bob,2025-10-07 18:27:21,GET,/,200,48456,https://bing.com/search?q=product,python-requests/2.28.1
203.0.113.5,bob,2025-10-05 08:03:06,GET,/products/item2,200,22800,https://www.google.com/search?q=site,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
198.51.100.217,bob,2025-10-06 17:32:48,POST,/etc/passwd,200,16609,https://www.example.com/start.html,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.207,-,2025-10-07 22:52:29,GET,/admin.php,200,28736,https://bing.com/search?q=product,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
192.0.2.1,-,2025-10-06 13:02:53,GET,/cgi-bin/test.cgi,200,34824,-,curl/7.68.0
198.51.100.224,-,2025-10-07 16:40:33,GET,/products/item2,404,15538,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
203.0.113.5,alice,2025-10-06 21:50:24,POST,/products/item1,301,21921,https://www.example.com/start.html,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.218,-,2025-10-07 01:10:46,POST,/shell?cmd=ls,200,39770,https://www.example.com/start.html,Wget/1.20.3 (linux-gnu)
198.51.100.225,alice,2025-10-05 02:36:09,HEAD,/contact,200,46932,https://www.example.com/start.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.209,-,2025-10-05 20:14:47,GET,/login,200,4432,https://bing.com/search?q=product,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.217,bob,2025-10-07 01:52:07,GET,/wp-login.php,200,21117,https://facebook.com/,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
203.0.113.5,alice,2025-10-07 05:56:39,POST,/css/main.css,404,8517,https://facebook.com/,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.23,alice,2025-10-06 22:52:17,GET,/products,200,3135,https://facebook.com/,Wget/1.20.3 (linux-gnu)
198.51.100.99,-,2025-10-05 07:28:14,GET,/index.html,200,49007,https://www.example.com/start.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.207,-,2025-10-05 21:36:34,POST,/css/main.css,200,44114,https://www.google.com/search?q=site,Wget/1.20.3 (linux-gnu)
198.51.100.216,-,2025-10-05 06:16:15,POST,/products/item2,200,37540,https://facebook.com/,python-requests/2.28.1
198.51.100.225,-,2025-10-05 10:39:46,GET,/.env,404,33602,https://www.example.com/start.html,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
198.51.100.206,-,2025-10-05 17:38:18,GET,/products/item2,200,29678,https://bing.com/search?q=product,Nikto/2.1.6
203.0.113.5,alice,2025-10-07 12:24:27,POST,/index.html,200,28649,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.210,-,2025-10-06 03:05:57,GET,/login.php?user=admin,301,1081,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.239,-,2025-10-07 12:13:03,GET,/products/item2,200,27268,-,Nikto/2.1.6
198.51.100.203,alice,2025-10-05 01:14:42,GET,/search.php?q=phone,200,34498,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.207,alice,2025-10-07 00:38:20,POST,/cgi-bin/test.cgi,200,13497,https://www.google.com/search?q=site,python-requests/2.28.1
198.51.100.243,-,2025-10-05 20:01:38,POST,/products/item2,200,42500,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.237,alice,2025-10-06 09:50:38,GET,/products/item1,200,34700,-,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
198.51.100.222,bob,2025-10-06 10:54:20,POST,/products/item2,301,15748,https://www.example.com/start.html,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.150,bob,2025-10-07 01:24:54,GET,/contact,200,13785,https://www.example.com/start.html,curl/7.68.0
198.51.100.201,-,2025-10-07 15:10:18,DELETE,/,200,3853,https://www.google.com/search?q=site,python-requests/2.28.1
198.51.100.230,alice,2025-10-06 02:51:08,GET,/products/item1,200,32317,https://www.example.com/start.html,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.221,-,2025-10-07 01:49:43,GET,/index.html,200,23266,https://www.google.com/search?q=site,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
203.0.113.5,-,2025-10-07 15:28:18,POST,/search.php?q=phone,200,41114,https://facebook.com/,python-requests/2.28.1
198.51.100.232,-,2025-10-06 06:31:35,GET,/,200,14201,https://bing.com/search?q=product,python-requests/2.28.1
198.51.100.200,bob,2025-10-06 22:38:20,HEAD,/products/item1,200,11980,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.212,-,2025-10-06 16:24:20,GET,/search.php?q=phone,404,14644,https://bing.com/search?q=product,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.216,-,2025-10-06 03:18:06,GET,/blog,200,4651,https://bing.com/search?q=product,Wget/1.20.3 (linux-gnu)
198.51.100.227,alice,2025-10-06 10:55:05,POST,/search.php?q=phone,404,732,https://www.google.com/search?q=site,curl/7.68.0
203.0.113.5,bob,2025-10-05 05:48:34,GET,/admin,404,3326,-,Nikto/2.1.6
198.51.100.202,bob,2025-10-07 11:27:02,HEAD,/wp-login.php,302,48121,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.238,bob,2025-10-05 18:41:30,HEAD,/login,200,3361,https://www.example.com/start.html,Nikto/2.1.6
198.51.100.217,alice,2025-10-07 21:45:14,GET,/products/item1,200,47095,-,Nikto/2.1.6
198.51.100.231,-,2025-10-07 11:06:18,GET,/,200,23312,https://facebook.com/,curl/7.68.0
198.51.100.238,alice,2025-10-07 03:22:43,HEAD,/css/main.css,302,38568,-,sqlmap/1.5.5#stable
198.51.100.233,-,2025-10-07 18:46:25,GET,/,200,37152,https://bing.com/search?q=product,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
198.51.100.238,-,2025-10-05 01:03:53,POST,/search.php?q=phone,200,34439,https://bing.com/search?q=product,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.217,bob,2025-10-05 12:45:30,GET,/,401,34776,https://www.google.com/search?q=site,curl/7.68.0
198.51.100.222,alice,2025-10-05 15:44:24,POST,/products/item2,302,38678,https://www.google.com/search?q=site,Nikto/2.1.6
198.51.100.208,bob,2025-10-06 13:05:09,POST,/xmlrpc.php,404,16967,https://www.example.com/start.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.99,alice,2025-10-05 08:38:22,GET,/search.php?q=phone,200,26880,https://bing.com/search?q=product,sqlmap/1.5.5#stable
198.51.100.223,-,2025-10-06 03:06:53,GET,/products/item1,404,44454,https://www.example.com/start.html,sqlmap/1.5.5#stable
203.0.113.5,bob,2025-10-06 13:41:03,GET,/blog,200,1650,-,Nikto/2.1.6
198.51.100.240,-,2025-10-06 19:58:01,PUT,/,401,26402,https://www.example.com/start.html,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
198.51.100.234,bob,2025-10-06 02:38:39,HEAD,/js/app.js,200,36839,https://bing.com/search?q=product,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.229,bob,2025-10-07 03:14:54,GET,/products/item2,200,22511,https://www.google.com/search?q=site,curl/7.68.0
198.51.100.209,bob,2025-10-05 21:19:52,GET,/products,200,32397,https://www.google.com/search?q=site,curl/7.68.0
198.51.100.233,-,2025-10-06 21:28:24,GET,/,301,6225,https://facebook.com/,python-requests/2.28.1
198.51.100.206,-,2025-10-05 19:34:35,GET,/shell?cmd=ls,302,2890,https://www.google.com/search?q=site,curl/7.68.0
203.0.113.5,-,2025-10-06 06:55:35,POST,/api/v1/users,200,1556,-,curl/7.68.0
198.51.100.228,-,2025-10-07 17:41:55,POST,/admin.php,200,34611,https://facebook.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
198.51.100.231,bob,2025-10-07 05:07:25,GET,/blog,200,22723,https://www.google.com/search?q=site,Wget/1.20.3 (linux-gnu)
198.51.100.223,-,2025-10-06 11:00:11,GET,/,200,36721,-,python-requests/2.28.1
198.51.100.213,bob,2025-10-05 08:20:45,GET,/,200,38521,https://facebook.com/,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.203,bob,2025-10-07 00:47:50,GET,/products/item2,200,25327,https://facebook.com/,curl/7.68.0
198.51.100.236,alice,2025-10-06 12:06:34,GET,/shell?cmd=ls,200,33237,https://www.example.com/start.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.229,alice,2025-10-05 05:21:27,GET,/api/v1/login,200,22841,https://bing.com/search?q=product,sqlmap/1.5.5#stable
203.0.113.5,-,2025-10-06 13:35:16,GET,/blog,404,25096,https://bing.com/search?q=product,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
198.51.100.236,-,2025-10-07 10:59:41,GET,/cart,200,14393,https://www.google.com/search?q=site,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
203.0.113.5,bob,2025-10-06 22:15:12,DELETE,/products/item2,200,673,https://facebook.com/,Nikto/2.1.6
192.0.2.1,bob,2025-10-06 06:28:33,GET,/products/item1,200,2876,https://bing.com/search?q=product,python-requests/2.28.1
198.51.100.226,alice,2025-10-07 10:53:22,POST,/blog/post1,200,21016,-,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
198.51.100.150,bob,2025-10-07 00:46:55,POST,/search.php?q=phone,200,36639,https://www.google.com/search?q=site,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
198.51.100.99,bob,2025-10-07 18:19:32,GET,/products/item1,200,4058,https://bing.com/search?q=product,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.241,-,2025-10-05 14:33:02,GET,/search.php?q=phone,301,46505,https://www.example.com/start.html,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.232,bob,2025-10-07 01:41:55,GET,/products/item1,200,29284,-,Wget/1.20.3 (linux-gnu)
198.51.100.218,-,2025-10-05 03:26:21,GET,/about,200,44763,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
198.51.100.249,-,2025-10-06 10:27:17,POST,/images/logo.png,200,32056,-,Nikto/2.1.6
198.51.100.248,-,2025-10-07 06:38:55,HEAD,/cart,200,46765,https://www.example.com/start.html,python-requests/2.28.1
198.51.100.237,bob,2025-10-06 19:56:42,GET,/,200,27903,-,python-requests/2.28.1
198.51.100.221,-,2025-10-05 10:40:42,GET,/index.html,200,38883,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.211,alice,2025-10-05 02:14:00,GET,/contact,200,9174,https://facebook.com/,curl/7.68.0
198.51.100.245,bob,2025-10-05 00:07:57,GET,/contact,200,25520,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.208,bob,2025-10-05 05:14:25,POST,/products,302,37856,https://www.google.com/search?q=site,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
198.51.100.99,-,2025-10-06 16:40:32,POST,/about,200,26963,https://facebook.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.216,-,2025-10-07 18:46:16,HEAD,/products/item1,302,42897,https://bing.com/search?q=product,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.232,bob,2025-10-06 09:33:10,DELETE,/products,200,37625,https://facebook.com/,python-requests/2.28.1
198.51.100.244,alice,2025-10-07 12:32:20,POST,/products/item1,401,25823,https://www.google.com/search?q=site,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.150,-,2025-10-06 10:12:10,GET,/search.php?q=phone,301,30603,-,Nikto/2.1.6
198.51.100.241,-,2025-10-07 02:04:05,GET,/search.php?q=phone,200,26499,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.231,alice,2025-10-06 05:22:18,GET,/about,200,32362,-,sqlmap/1.5.5#stable
198.51.100.209,-,2025-10-07 02:10:26,GET,/index.html,200,1162,https://facebook.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
198.51.100.229,-,2025-10-05 17:53:17,GET,/admin/dashboard,200,20968,https://bing.com/search?q=product,curl/7.68.0
198.51.100.205,alice,2025-10-07 06:13:36,GET,/products/item2,200,1555,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
192.0.2.1,-,2025-10-07 10:27:29,POST,/products/item1,200,42215,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.238,-,2025-10-07 10:55:21,GET,/search.php?q=phone,302,2398,-,python-requests/2.28.1
198.51.100.206,-,2025-10-07 14:02:30,GET,/search.php?q=phone,200,13861,-,Nikto/2.1.6
198.51.100.213,alice,2025-10-07 10:00:18,GET,/products/item1,200,21259,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
203.0.113.5,alice,2025-10-05 06:33:28,GET,/blog,404,31391,https://www.example.com/start.html,Wget/1.20.3 (linux-gnu)
198.51.100.231,alice,2025-10-06 20:56:31,HEAD,/index.html,401,44700,-,sqlmap/1.5.5#stable
198.51.100.220,-,2025-10-05 18:35:13,DELETE,/blog,200,15760,https://www.example.com/start.html,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
203.0.113.5,-,2025-10-06 05:01:22,POST,/search.php?q=phone,301,28803,-,curl/7.68.0
198.51.100.205,alice,2025-10-06 00:53:33,GET,/products/item1,200,44939,-,curl/7.68.0
198.51.100.236,bob,2025-10-05 21:54:24,GET,/products/item1,404,10362,-,python-requests/2.28.1
198.51.100.210,-,2025-10-07 10:25:01,GET,/index.html,200,36340,https://bing.com/search?q=product,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
198.51.100.245,-,2025-10-06 06:08:20,GET,/index.html,200,28502,-,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
198.51.100.227,-,2025-10-06 00:57:12,GET,/login,200,41920,https://www.example.com/start.html,Nikto/2.1.6
198.51.100.226,alice,2025-10-05 05:20:52,GET,/products/item2,200,26578,-,python-requests/2.28.1
